action,date,score,running_total
discussion_entry,2016-01-21,3,3
get_discussion_entry_reply,2016-01-22,1,4
like,2016-01-23,1,5
asset_comment,2016-01-23,3,8
like,2016-01-23,1,9
like,2016-01-23,1,10
get_asset_comment_reply,2016-01-24,1,11
submit_assignment,2016-01-24,20,31
get_like,2016-01-24,1,32
like,2016-01-24,1,33
get_like,2016-01-24,1,34
get_like,2016-01-24,1,35
get_like,2016-01-24,1,36
get_like,2016-01-24,1,37
get_like,2016-01-24,1,38
get_like,2016-01-25,1,39
like,2016-01-25,1,40
get_like,2016-01-25,1,41
get_like,2016-01-25,1,42
get_like,2016-01-25,1,43
get_like,2016-01-25,1,44
get_like,2016-01-25,1,45
get_asset_comment,2016-01-25,1,46
get_like,2016-01-25,1,47
get_like,2016-01-26,1,48
get_like,2016-01-26,1,49
get_like,2016-01-26,1,50
get_like,2016-01-26,1,51
get_like,2016-01-26,1,52
get_like,2016-01-26,1,53
get_like,2016-01-26,1,54
get_like,2016-01-26,1,55
like,2016-01-26,1,56
get_like,2016-01-26,1,57
discussion_entry,2016-01-26,3,60
get_asset_comment,2016-01-26,1,61
asset_comment,2016-01-26,3,64
asset_comment,2016-01-26,3,67
asset_comment,2016-01-26,3,70
discussion_entry,2016-01-26,3,73
like,2016-01-26,1,74
like,2016-01-26,1,75
asset_comment,2016-01-26,3,78
like,2016-01-26,1,79
like,2016-01-26,1,80
asset_comment,2016-01-26,3,83
like,2016-01-26,1,84
asset_comment,2016-01-26,3,87
like,2016-01-26,1,88
get_asset_comment_reply,2016-01-26,1,89
get_asset_comment,2016-01-27,1,90
get_asset_comment_reply,2016-01-27,1,91
like,2016-01-27,1,92
like,2016-01-27,1,93
like,2016-01-27,1,94
like,2016-01-27,1,95
like,2016-01-27,1,96
like,2016-01-27,1,97
like,2016-01-27,1,98
get_like,2016-01-28,1,99
get_like,2016-01-28,1,100
get_asset_comment,2016-01-28,1,101
get_like,2016-01-28,1,102
like,2016-01-28,1,103
asset_comment,2016-01-28,3,106
like,2016-01-28,1,107
asset_comment,2016-01-28,3,110
like,2016-01-28,1,111
like,2016-01-28,1,112
like,2016-01-28,1,113
like,2016-01-28,1,114
like,2016-01-28,1,115
like,2016-01-28,1,116
like,2016-01-28,1,117
like,2016-01-28,1,118
like,2016-01-28,1,119
like,2016-01-28,1,120
asset_comment,2016-01-28,3,123
asset_comment,2016-01-28,3,126
get_asset_comment_reply,2016-01-28,1,127
get_asset_comment_reply,2016-01-29,1,128
like,2016-01-29,1,129
get_like,2016-01-29,1,130
submit_assignment,2016-01-30,20,150
get_like,2016-01-30,1,151
get_like,2016-01-31,1,152
get_like,2016-01-31,1,153
get_like,2016-01-31,1,154
get_like,2016-01-31,1,155
get_like,2016-01-31,1,156
get_like,2016-01-31,1,157
get_like,2016-01-31,1,158
get_like,2016-01-31,1,159
get_like,2016-01-31,1,160
get_like,2016-02-01,1,161
get_like,2016-02-01,1,162
get_like,2016-02-01,1,163
get_asset_comment,2016-02-01,1,164
get_like,2016-02-01,1,165
get_like,2016-02-01,1,166
get_like,2016-02-01,1,167
get_like,2016-02-01,1,168
get_like,2016-02-01,1,169
get_like,2016-02-01,1,170
get_asset_comment,2016-02-02,1,171
get_like,2016-02-02,1,172
asset_comment,2016-02-02,3,175
get_like,2016-02-02,1,176
get_like,2016-02-02,1,177
like,2016-02-02,1,178
get_like,2016-02-02,1,179
like,2016-02-02,1,180
asset_comment,2016-02-02,3,183
asset_comment,2016-02-02,3,186
like,2016-02-02,1,187
get_asset_comment_reply,2016-02-03,1,188
asset_comment,2016-02-04,3,191
like,2016-02-04,1,192
like,2016-02-04,1,193
asset_comment,2016-02-04,3,196
add_asset,2016-02-04,20,216
like,2016-02-04,1,217
asset_comment,2016-02-04,3,220
get_like,2016-02-04,1,221
get_like,2016-02-04,1,222
get_like,2016-02-05,1,223
get_asset_comment_reply,2016-02-05,1,224
get_like,2016-02-05,1,225
get_asset_comment,2016-02-05,1,226
get_like,2016-02-05,1,227
get_asset_comment,2016-02-06,1,228
asset_comment,2016-02-06,3,231
like,2016-02-06,1,232
asset_comment,2016-02-06,3,235
get_like,2016-02-06,1,236
get_like,2016-02-06,1,237
get_asset_comment_reply,2016-02-06,1,238
like,2016-02-06,1,239
get_like,2016-02-06,1,240
get_like,2016-02-06,1,241
get_like,2016-02-06,1,242
get_asset_comment,2016-02-06,1,243
asset_comment,2016-02-06,3,246
get_asset_comment,2016-02-06,1,247
get_like,2016-02-06,1,248
get_asset_comment,2016-02-06,1,249
get_asset_comment_reply,2016-02-07,1,250
like,2016-02-07,1,251
asset_comment,2016-02-07,3,254
like,2016-02-07,1,255
asset_comment,2016-02-07,3,258
get_asset_comment,2016-02-07,1,259
asset_comment,2016-02-07,3,262
get_asset_comment,2016-02-07,1,263
asset_comment,2016-02-07,3,266
asset_comment,2016-02-07,3,269
like,2016-02-07,1,270
get_like,2016-02-07,1,271
get_asset_comment_reply,2016-02-07,1,272
asset_comment,2016-02-07,3,275
like,2016-02-07,1,276
like,2016-02-07,1,277
get_asset_comment_reply,2016-02-07,1,278
get_like,2016-02-07,1,279
get_like,2016-02-07,1,280
get_asset_comment_reply,2016-02-07,1,281
get_asset_comment,2016-02-07,1,282
get_like,2016-02-07,1,283
get_like,2016-02-07,1,284
get_asset_comment,2016-02-07,1,285
add_asset,2016-02-07,20,305
get_like,2016-02-07,1,306
get_like,2016-02-07,1,307
get_like,2016-02-07,1,308
get_like,2016-02-07,1,309
get_like,2016-02-07,1,310
get_like,2016-02-07,1,311
get_like,2016-02-07,1,312
get_like,2016-02-07,1,313
get_asset_comment_reply,2016-02-07,1,314
get_like,2016-02-07,1,315
get_like,2016-02-07,1,316
get_like,2016-02-07,1,317
get_like,2016-02-07,1,318
get_like,2016-02-07,1,319
get_like,2016-02-07,1,320
get_like,2016-02-07,1,321
get_like,2016-02-07,1,322
get_asset_comment,2016-02-07,1,323
get_like,2016-02-07,1,324
get_like,2016-02-07,1,325
get_asset_comment,2016-02-08,1,326
get_like,2016-02-08,1,327
get_like,2016-02-08,1,328
get_asset_comment,2016-02-08,1,329
get_like,2016-02-08,1,330
get_asset_comment,2016-02-08,1,331
get_asset_comment,2016-02-08,1,332
get_like,2016-02-08,1,333
get_asset_comment,2016-02-08,1,334
get_like,2016-02-08,1,335
get_like,2016-02-08,1,336
