action,weekday,month,day,year,hour,score
get_asset_comment_reply,6,1,24,2016,17,1
get_asset_comment_reply,1,1,26,2016,22,1
get_asset_comment_reply,2,1,27,2016,10,1
get_asset_comment_reply,3,1,28,2016,23,1
get_asset_comment_reply,4,1,29,2016,10,1
get_asset_comment_reply,2,2,3,2016,9,1
get_asset_comment_reply,4,2,5,2016,12,1
get_asset_comment_reply,5,2,6,2016,15,1
get_asset_comment_reply,6,2,7,2016,0,1
get_asset_comment_reply,6,2,7,2016,11,1
get_asset_comment_reply,6,2,7,2016,14,1
get_asset_comment_reply,6,2,7,2016,17,1
get_asset_comment_reply,6,2,7,2016,21,1
get_asset_comment_reply,0,2,8,2016,15,1
get_asset_comment_reply,0,2,8,2016,23,1
get_asset_comment_reply,1,2,9,2016,10,1
get_asset_comment_reply,1,3,8,2016,11,1
get_asset_comment_reply,1,3,8,2016,22,1
get_asset_comment_reply,1,3,15,2016,16,1
get_asset_comment_reply,1,3,15,2016,19,1
get_asset_comment_reply,6,3,27,2016,10,1
get_asset_comment_reply,3,4,7,2016,11,1
get_asset_comment_reply,6,4,10,2016,17,1
get_asset_comment_reply,0,4,11,2016,13,1
get_asset_comment_reply,1,4,12,2016,11,2
get_asset_comment_reply,5,4,16,2016,18,2
get_asset_comment_reply,6,4,17,2016,21,1
get_asset_comment_reply,0,4,18,2016,0,1
get_asset_comment_reply,0,4,18,2016,20,1
get_asset_comment_reply,1,4,19,2016,9,1
get_asset_comment_reply,1,4,19,2016,10,1
get_asset_comment_reply,3,4,21,2016,11,1
get_asset_comment_reply,3,4,21,2016,11,1
get_asset_comment_reply,3,4,21,2016,23,1
get_asset_comment_reply,4,4,22,2016,11,1
get_asset_comment_reply,6,4,24,2016,11,1
get_asset_comment_reply,0,4,25,2016,20,1
get_asset_comment_reply,1,4,26,2016,12,1
