action,weekday,month,day,year,hour,score
get_like,6,1,24,2016,22,1
get_like,6,1,24,2016,22,4
get_like,6,1,24,2016,23,1
get_like,0,1,25,2016,0,1
get_like,0,1,25,2016,10,2
get_like,0,1,25,2016,16,1
get_like,0,1,25,2016,18,1
get_like,0,1,25,2016,19,1
get_like,0,1,25,2016,22,1
get_like,1,1,26,2016,9,5
get_like,1,1,26,2016,10,1
get_like,1,1,26,2016,11,2
get_like,1,1,26,2016,11,1
get_like,3,1,28,2016,9,2
get_like,3,1,28,2016,9,1
get_like,4,1,29,2016,18,1
get_like,5,1,30,2016,23,1
get_like,6,1,31,2016,0,1
get_like,6,1,31,2016,15,1
get_like,6,1,31,2016,18,1
get_like,6,1,31,2016,19,3
get_like,6,1,31,2016,21,3
get_like,0,2,1,2016,8,1
get_like,0,2,1,2016,9,1
get_like,0,2,1,2016,12,1
get_like,0,2,1,2016,14,1
get_like,0,2,1,2016,18,1
get_like,0,2,1,2016,20,1
get_like,0,2,1,2016,21,2
get_like,0,2,1,2016,22,1
get_like,1,2,2,2016,9,1
get_like,1,2,2,2016,11,2
get_like,1,2,2,2016,12,1
get_like,3,2,4,2016,17,1
get_like,3,2,4,2016,21,1
get_like,4,2,5,2016,10,1
get_like,4,2,5,2016,18,1
get_like,4,2,5,2016,22,1
get_like,5,2,6,2016,11,1
get_like,5,2,6,2016,15,1
get_like,5,2,6,2016,18,1
get_like,5,2,6,2016,19,1
get_like,5,2,6,2016,20,1
get_like,5,2,6,2016,22,1
get_like,6,2,7,2016,8,1
get_like,6,2,7,2016,14,1
get_like,6,2,7,2016,16,1
get_like,6,2,7,2016,17,2
get_like,6,2,7,2016,18,2
get_like,6,2,7,2016,19,2
get_like,6,2,7,2016,20,3
get_like,6,2,7,2016,21,1
get_like,6,2,7,2016,21,4
get_like,6,2,7,2016,22,4
get_like,6,2,7,2016,23,2
get_like,0,2,8,2016,1,1
get_like,0,2,8,2016,6,1
get_like,0,2,8,2016,6,1
get_like,0,2,8,2016,8,1
get_like,0,2,8,2016,9,1
get_like,0,2,8,2016,10,2
get_like,0,2,8,2016,15,1
get_like,0,2,8,2016,15,1
get_like,0,2,8,2016,16,3
get_like,0,2,8,2016,18,6
get_like,0,2,8,2016,22,1
get_like,0,2,8,2016,23,2
get_like,0,2,8,2016,23,1
get_like,1,2,9,2016,0,1
get_like,1,2,9,2016,9,6
get_like,1,2,9,2016,10,5
get_like,1,2,9,2016,11,1
get_like,2,2,10,2016,20,1
get_like,2,2,10,2016,23,1
get_like,3,2,11,2016,1,1
get_like,3,2,11,2016,9,2
get_like,3,2,11,2016,10,1
get_like,3,2,11,2016,10,1
get_like,3,2,11,2016,11,1
get_like,3,2,11,2016,15,1
get_like,4,2,12,2016,10,1
get_like,4,2,12,2016,11,1
get_like,4,2,12,2016,12,1
get_like,4,2,12,2016,21,1
