action,weekday,month,day,year,hour,score
like,5,1,23,2016,22,1
like,5,1,23,2016,22,2
like,6,1,24,2016,22,1
like,0,1,25,2016,8,1
like,1,1,26,2016,11,1
like,1,1,26,2016,12,2
like,1,1,26,2016,12,2
like,1,1,26,2016,12,1
like,1,1,26,2016,16,1
like,2,1,27,2016,12,7
like,3,1,28,2016,14,1
like,3,1,28,2016,14,1
like,3,1,28,2016,14,10
like,4,1,29,2016,14,1
like,1,2,2,2016,12,1
like,1,2,2,2016,17,1
like,1,2,2,2016,17,1
like,3,2,4,2016,11,2
like,3,2,4,2016,12,1
like,5,2,6,2016,11,1
like,5,2,6,2016,18,1
like,6,2,7,2016,1,1
like,6,2,7,2016,1,1
like,6,2,7,2016,1,1
like,6,2,7,2016,11,2
like,0,2,8,2016,23,1
like,0,2,8,2016,23,1
like,1,2,9,2016,11,2
like,1,2,9,2016,12,1
like,1,2,16,2016,11,1
like,2,3,2,2016,4,1
like,1,3,8,2016,0,1
like,1,3,8,2016,0,1
like,1,3,8,2016,0,1
like,1,3,15,2016,11,2
like,1,3,15,2016,11,1
like,1,3,15,2016,11,1
like,6,3,27,2016,0,1
like,6,3,27,2016,0,1
like,6,3,27,2016,19,1
like,0,3,28,2016,17,1
like,1,3,29,2016,11,1
like,1,4,5,2016,11,1
like,1,4,5,2016,11,4
like,1,4,5,2016,11,359
like,1,4,5,2016,11,97
like,1,4,5,2016,17,1
like,3,4,7,2016,11,3
like,5,4,9,2016,23,3
like,6,4,10,2016,14,1
like,6,4,10,2016,14,1
like,6,4,10,2016,17,1
like,3,4,14,2016,11,1
like,3,4,14,2016,11,1
like,3,4,14,2016,11,1
like,3,4,14,2016,11,3
like,3,4,14,2016,11,1
like,3,4,14,2016,12,1
like,3,4,14,2016,12,3
like,3,4,14,2016,12,38
like,5,4,16,2016,22,1
like,1,4,19,2016,11,1
like,1,4,19,2016,11,2
like,3,4,21,2016,11,1
like,3,4,21,2016,11,1
like,3,4,21,2016,11,5
like,3,4,21,2016,11,2
like,3,4,21,2016,11,1
like,3,4,21,2016,11,1
like,3,4,21,2016,11,1
like,3,4,21,2016,11,1
like,3,4,21,2016,11,13
like,1,4,26,2016,11,1
like,1,4,26,2016,11,1
like,1,4,26,2016,11,1
like,1,4,26,2016,11,1
like,1,4,26,2016,11,1
like,1,4,26,2016,11,8
